x;y;datetime;smd50upveg;distroad;elevation;day
699682,0066;7225278,806;2010-08-01 07:02;Young;250;280;1
699680,3073;7225258,575;2010-08-01 07:04;Young;282,8427124;281;1
699659,3478;7225228,105;2010-08-01 07:06;Mire;250;278;1
699643,0373;7225228,868;2010-08-01 07:08;Mire;250;291;1
699599,8885;7225221,117;2010-08-01 07:10;Mire;212,1320343;288;1
699544,7736;7225153,144;2010-08-01 07:12;Bleav;269,2582397;289;1
699526,3109;7225180,025;2010-08-01 07:14;Mix;206,1552887;281;1
699532,1389;7225194,946;2010-08-01 07:16;Mire;223,6067963;303;1
699536,0826;7225188,879;2010-08-01 07:18;Mire;223,6067963;275;1
699546,2777;7225182,115;2010-08-01 07:20;Mire;223,6067963;291;1
699552,5795;7225144,543;2010-08-01 07:22;Bleav;269,2582397;282;1
699523,8938;7225155,276;2010-08-01 07:24;Young;254,9509735;272;1
699493,8062;7225132,016;2010-08-01 07:26;Young;254,9509735;272;1
699451,7524;7225116,145;2010-08-01 07:28;Bleav;223,6067963;277;1
699452,1579;7225107,791;2010-08-01 07:30;Bleav;223,6067963;271;1
699460,071;7225109,255;2010-08-01 07:32;Bleav;223,6067963;288;1
699452,9534;7225116,971;2010-08-01 07:34;Bleav;223,6067963;285;1
699457,9439;7225108,18;2010-08-01 07:36;Bleav;223,6067963;296;1
699452,2648;7225113,199;2010-08-01 07:38;Bleav;223,6067963;284;1
699452,5959;7225110,614;2010-08-01 07:40;Bleav;223,6067963;290;1
699454,1919;7225112,584;2010-08-01 07:42;Bleav;223,6067963;249;1
699452,3145;7225107,801;2010-08-01 07:44;Bleav;223,6067963;262;1
699457,1441;7225115,39;2010-08-01 07:46;Bleav;223,6067963;297;1
699451,7025;7225116,887;2010-08-01 07:48;Bleav;223,6067963;274;1
699445,4038;7225119,443;2010-08-01 07:50;Bleav;223,6067963;262;1
699450,2521;7225119,77;2010-08-01 07:52;Bleav;223,6067963;239;1
699451,3269;7225113,137;2010-08-01 07:54;Bleav;223,6067963;258;1
699449,5317;7225114,133;2010-08-01 07:56;Bleav;223,6067963;262;1
699452,5648;7225108,75;2010-08-01 07:58;Bleav;223,6067963;262;1
699453,9406;7225106,98;2010-08-01 08:00;Bleav;223,6067963;271;1
699454,3313;7225107,006;2010-08-01 08:02;Bleav;223,6067963;293;1
699451,8272;7225115,033;2010-08-01 08:04;Bleav;223,6067963;283;1
699452,6587;7225109,687;2010-08-01 08:06;Bleav;223,6067963;268;1
699450,5001;7225106,748;2010-08-01 08:08;Bleav;223,6067963;272;1
699449,5132;7225116,74;2010-08-01 08:10;Bleav;223,6067963;267;1
699447,8725;7225103,777;2010-08-01 08:12;Bleav;223,6067963;271;1
699449,1884;7225121,56;2010-08-01 08:14;Bleav;206,1552887;279;1
699460,7732;7225117,498;2010-08-01 08:16;Bleav;223,6067963;251;1
699452,1868;7225113,194;2010-08-01 08:18;Bleav;223,6067963;273;1
699455,6005;7225121,992;2010-08-01 08:20;Bleav;206,1552887;255;1
699440,5546;7225109,803;2010-08-01 08:22;Bleav;223,6067963;263;1
699441,4141;7225105,205;2010-08-01 08:25;Bleav;223,6067963;261;1
699453,391;7225115,138;2010-08-01 08:27;Bleav;223,6067963;286;1
699444,0347;7225128,105;2010-08-01 08:29;Bleav;206,1552887;289;1
699387,5786;7225137,156;2010-08-01 08:31;Young;158,1138763;272;1
699332,0067;7225088,713;2010-08-01 08:33;Young;141,4213562;317;1
699306,6726;7225087,008;2010-08-01 08:35;Young;100;273;1
699336,4561;7225059,956;2010-08-01 08:37;Young;111,8033981;276;1
699209,598;7225029,629;2010-08-01 08:39;Mix;0;271;1
699108,2869;7225053,922;2010-08-01 08:41;Coni;100;260;1
699076,1901;7225150,482;2010-08-01 08:43;Coni;150;265;1
699027,6721;7225177,022;2010-08-01 08:45;Coni;200;281;1
698991,7364;7225345,965;2010-08-01 08:47;Coni;250;283;1
698807,506;7225268,402;2010-08-01 08:49;Coni;403,1128845;281;1
698736,1914;7225372,577;2010-08-01 08:51;Coni;492,4429016;218;1
